Date,Hospital Admissions
15 de mar. de 2020,70
16 de mar. de 2020,88
17 de mar. de 2020,125
18 de mar. de 2020,179
19 de mar. de 2020,213
20 de mar. de 2020,294
21 de mar. de 2020,322
22 de mar. de 2020,278
23 de mar. de 2020,268
24 de mar. de 2020,420
25 de mar. de 2020,543
26 de mar. de 2020,494
27 de mar. de 2020,587
28 de mar. de 2020,642
29 de mar. de 2020,545
30 de mar. de 2020,486
31 de mar. de 2020,550
1 de abr. de 2020,599
2 de abr. de 2020,572
3 de abr. de 2020,502
4 de abr. de 2020,502
5 de abr. de 2020,360
6 de abr. de 2020,324
7 de abr. de 2020,475
8 de abr. de 2020,464
9 de abr. de 2020,467
10 de abr. de 2020,431
11 de abr. de 2020,392
12 de abr. de 2020,277
13 de abr. de 2020,244
14 de abr. de 2020,253
15 de abr. de 2020,317
16 de abr. de 2020,313
17 de abr. de 2020,306
18 de abr. de 2020,265
19 de abr. de 2020,227
20 de abr. de 2020,184
21 de abr. de 2020,262
22 de abr. de 2020,216
23 de abr. de 2020,204
24 de abr. de 2020,221
25 de abr. de 2020,203
26 de abr. de 2020,130
27 de abr. de 2020,129
28 de abr. de 2020,165
29 de abr. de 2020,185
30 de abr. de 2020,153
1 de mai. de 2020,134
2 de mai. de 2020,82
3 de mai. de 2020,62
4 de mai. de 2020,92
5 de mai. de 2020,123
6 de mai. de 2020,101
7 de mai. de 2020,122
8 de mai. de 2020,79
9 de mai. de 2020,85
10 de mai. de 2020,62
11 de mai. de 2020,48
12 de mai. de 2020,74
13 de mai. de 2020,83
14 de mai. de 2020,66
15 de mai. de 2020,65
16 de mai. de 2020,62
17 de mai. de 2020,45
18 de mai. de 2020,52
19 de mai. de 2020,59
20 de mai. de 2020,77
21 de mai. de 2020,63
22 de mai. de 2020,37
23 de mai. de 2020,56
24 de mai. de 2020,31
25 de mai. de 2020,39
26 de mai. de 2020,39
27 de mai. de 2020,53
28 de mai. de 2020,28
29 de mai. de 2020,28
30 de mai. de 2020,42
31 de mai. de 2020,26
1 de jun. de 2020,29
2 de jun. de 2020,36
3 de jun. de 2020,22
4 de jun. de 2020,34
5 de jun. de 2020,30
6 de jun. de 2020,23
7 de jun. de 2020,24
8 de jun. de 2020,18
9 de jun. de 2020,24
10 de jun. de 2020,20
11 de jun. de 2020,33
12 de jun. de 2020,25
13 de jun. de 2020,11
14 de jun. de 2020,16
15 de jun. de 2020,12
16 de jun. de 2020,27
